Date,Open,High,Low,Close,Tick_Vol
3/19/2023,1984.419,2009.691,1934.159,1971.489,849050
3/26/2023,1978.27,1987.555,1943.922,1968.069,762039
4/2/2023,1972.039,2032.011,1949.66,2005.089,764252
4/9/2023,1992.729,2048.6,1981.556,2003.539,939177
4/16/2023,2000.359,2014.93,1969.139,1982.109,980613
4/23/2023,1979.93,2009.24,1973.93,1989.339,1057841
4/30/2023,1991.059,2077.09,1976.96,2015.679,1138674
5/7/2023,2014.779,2048.091,2000.84,2009.839,969149
5/14/2023,2007.88,2022.065,1951.88,1976.819,928957
5/21/2023,1976.85,1985.235,1936.66,1944.839,968513
5/28/2023,1942.23,1983.32,1931.94,1946.779,845933
6/4/2023,1946.99,1972.971,1938.04,1960.349,796225
6/11/2023,1960.229,1970.967,1924.66,1956.769,858654
6/18/2023,1958.1,1958.676,1910.069,1920.149,769224
6/25/2023,1926,1933.26,1892.94,1919.099,785735
7/2/2023,1919.01,1934.96,1902.54,1924.149,692952
7/9/2023,1924.35,1963.63,1912.58,1954.489,788596
7/16/2023,1954.01,1987.39,1945.69,1961.039,765237
7/23/2023,1961.21,1982.09,1942.52,1958.649,787157
7/30/2023,1959.19,1972.3,1924.459,1942.299,668322
8/6/2023,1940.53,1946.65,1910.769,1913.069,561576
8/13/2023,1913.1,1916.11,1884.96,1888.869,606933
8/20/2023,1889.02,1923.23,1884.759,1914.619,612030
8/27/2023,1915.13,1952.9,1912.689,1938.969,547161
9/3/2023,1940.09,1946.18,1915.18,1918.159,489853
9/10/2023,1918.689,1930.609,1900.905,1923.049,583490
9/17/2023,1923.8,1947.33,1913.839,1924.639,552914
9/24/2023,1924.65,1927.117,1846.21,1848.129,590534
10/1/2023,1847.9,1850.225,1810.333,1832.499,729566
10/8/2023,1845.88,1932.74,1841.444,1932.449,708036
10/15/2023,1926.42,1997.09,1908.08,1980.619,807419
10/22/2023,1975.75,2009.35,1953.418,2005.979,801234
10/29/2023,2001.58,2007.87,1969.82,1992.129,769737
11/5/2023,1991.2,1993.006,1932.939,1937.219,639440
11/12/2023,1936.749,1993.34,1920.5,1980.119,639991
11/19/2023,1977.95,2007.48,1965.319,2002.089,634913
11/26/2023,2001.35,2075.27,1999.029,2071.429,797225
12/3/2023,2073.509,2144.539,1994.56,2003.259,1013547
12/10/2023,2003.8,2047.799,1972.95,2019.509,870246
12/17/2023,2019.05,2070.529,2015.9,2052.379,675416
12/24/2023,2053.619,2088.36,2052.259,2061.769,458925
12/31/2023,2063.33,2078.82,2024.39,2044.609,674582
1/7/2024,2045.019,2062.15,2013.23,2048.709,846853
1/14/2024,2048.68,2058.51,2001.75,2029.289,788681
1/21/2024,2029.25,2037.75,2009.212,2018.009,699137
1/28/2024,2025.89,2065.32,2019.2,2038.896,822984
2/4/2024,2038.14,2044.46,2014.78,2024.399,624073
2/11/2024,2023.66,2032.4,1984.149,2011.031,555825
2/18/2024,2014.01,2041.28,2009.259,2035.359,493575
2/25/2024,2033.93,2088.227,2024.389,2081.965,568692
3/3/2024,2082.73,2195.04,2079.368,2178.221,876666
3/10/2024,2179.499,2188.92,2150.539,2155.517,748662
3/17/2024,2155.92,2222.349,2145.99,2164.694,818418
